Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
cartman,44,408,14,"{'god': 2, 'stupid': 2, 'crap': 1, 'gay': 1, 'dick': 1, 'assholes': 1, 'fags': 1, 'hell': 1, 'butthole': 1, 'pussy': 1, 'goddamned': 1, 'screwed': 1}",3.43
kyle,40,302,7,"{'hell': 3, 'sucks': 1, 'crap': 1, 'fat': 1, 'ass': 1}",2.32
stan,39,366,3,"{'crap': 1, 'stupid': 1, 'ass': 1}",0.82
randy,37,521,14,"{'porno': 5, 'penis': 2, 'vagina': 2, 'steamy': 1, 'pornos': 1, 'god': 1, 'sluts': 1, 'sexual': 1}",2.69
butters,27,237,0,{},0.0
sixth grader leader,21,200,12,"{'porno': 3, 'sluts': 2, 'gay': 1, 'porn': 1, 'hell': 1, 'god': 1, 'stupid': 1, 'asses': 1, 'crap': 1}",6.0
sharon,18,112,5,"{'porno': 2, 'god': 1, 'vagina': 1, 'penis': 1}",4.46
stephen,14,98,2,"{'sluts': 1, 'crotch': 1}",2.04
clyde,12,216,1,{'asshole': 1},0.46
sheila,12,147,4,"{'god': 1, 'hell': 1, 'sex': 1, 'vagina': 1}",2.72
gerald,10,138,6,"{'porno': 1, 'crotch': 1, 'porn': 1, 'sluts': 1, 'penetration': 1, 'sex': 1}",4.35
jimmy,10,106,2,"{'stupid': 1, 'retards': 1}",1.89
craig,9,75,1,{'stupid': 1},1.33
narrator,5,80,0,{},0.0
steve,5,43,3,"{'porno': 2, 'god': 1}",6.98
linda,5,39,1,{'god': 1},2.56
tolkien,4,96,1,{'pees': 1},1.04
sixth grader 1,3,27,0,{},0.0
linda black,3,24,0,{},0.0
kindergartner,3,11,0,{},0.0
tweek,2,8,0,{},0.0
other boys,2,4,0,{},0.0
other sixth graders,2,2,0,{},0.0
liane,1,21,0,{},0.0
kevin,1,10,0,{},0.0
sixth grader 5,1,10,0,{},0.0
boy 1,1,8,0,{},0.0
woman,1,7,1,{'god': 1},14.29
sixth grader 4,1,7,0,{},0.0
boy 2,1,6,0,{},0.0
sixth grader 3,1,6,0,{},0.0
boy 3,1,4,0,{},0.0
gerald stephen,1,3,1,{'sluts': 1},33.33
evan stone,1,3,1,{'ass': 1},33.33
adults,1,3,0,{},0.0
stan kyle cartman,1,1,0,{},0.0
sixth graders 2 and 3,1,1,0,{},0.0
