Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
stan,65,1053,19,"{'douche': 10, 'stupid': 2, 'douchey': 2, 'asshole': 2, 'crap': 1, 'bitch': 1, 'douches': 1}",1.8
john edward,40,583,10,"{'douche': 8, 'asshole': 1, 'god': 1}",1.72
chef,31,330,3,"{'god': 1, 'asshole': 1, 'pot': 1}",0.91
kyle,20,180,2,"{'god': 1, 'douche': 1}",1.11
thomas,19,238,2,"{'god': 1, 'pot': 1}",0.84
nellie,19,216,1,{'pot': 1},0.46
liane,19,145,0,{},0.0
cartman,19,112,9,"{'god': 2, 'damn': 1, 'hell': 1, 'assholes': 1, 'asshole': 1, 'fatass': 1, 'fat': 1, 'ass': 1}",8.04
announcer,13,260,2,"{'pot': 1, 'douche': 1}",0.77
dr doctor,9,108,0,{},0.0
woman 4,7,31,2,{'god': 2},6.45
lead alien,4,67,1,{'douche': 1},1.49
butler,4,19,0,{},0.0
bee alien,3,33,1,{'douche': 1},3.03
man 2,3,27,0,{},0.0
lion head alien,3,25,1,{'douche': 1},4.0
woman 3,3,16,0,{},0.0
man 1,3,14,0,{},0.0
woman 1,3,13,0,{},0.0
rob schneider,3,13,0,{},0.0
woman 5,3,13,0,{},0.0
audience members,3,10,0,{},0.0
audience,3,3,0,{},0.0
construction worker,2,42,0,{},0.0
pilot,2,24,0,{},0.0
frankenstein alien,2,19,2,{'douche': 2},10.53
page,1,40,0,{},0.0
flight attendant,1,27,0,{},0.0
woman 2,1,14,0,{},0.0
man 12,1,13,0,{},0.0
man 4,1,12,0,{},0.0
scout,1,12,0,{},0.0
paramedic 1,1,10,0,{},0.0
alien 2,1,10,0,{},0.0
woman 7,1,8,0,{},0.0
brunette nurse,1,7,0,{},0.0
man 3,1,6,0,{},0.0
man 5,1,6,0,{},0.0
man 7,1,6,0,{},0.0
pre recorded voice,1,5,0,{},0.0
man 9,1,5,0,{},0.0
blonde nurse,1,4,0,{},0.0
man 6,1,4,0,{},0.0
man 8,1,2,0,{},0.0
woman 6,1,2,0,{},0.0
man 11,1,2,0,{},0.0
stan kyle,1,1,0,{},0.0
adults,1,1,0,{},0.0
man 10,1,1,0,{},0.0
woman 8,1,1,0,{},0.0
alien 3,1,1,0,{},0.0
damanta unit 5,1,1,0,{},0.0
