Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
cartman,49,589,10,"{'god': 6, 'stupid': 2, 'shithole': 1, 'gay': 1}",1.7
santa,37,434,6,"{'god': 2, 'bastards': 1, 'fucking': 1, 'kill': 1, 'shit': 1}",1.38
mr hankey,30,233,1,{'whiz': 1},0.43
kyle,26,205,4,"{'retarded': 1, 'hell': 1, 'stupid': 1, 'bastards': 1}",1.95
stan,22,149,4,"{'god': 2, 'asshole': 1, 'fucked': 1}",2.68
jesus,17,144,1,{'hell': 1},0.69
kyle schwartz,12,192,1,{'hell': 1},0.52
jimmy,10,207,0,{},0.0
iraqi general,9,116,3,"{'kill': 2, 'testicles': 1}",2.59
townsfolk,8,25,0,{},0.0
gnome 1,7,88,0,{},0.0
gnome 2,7,85,0,{},0.0
mayor mcdaniels,6,133,0,{},0.0
kenny,3,12,0,{},0.0
stan kyle cartman,3,3,0,{},0.0
gnome,2,20,0,{},0.0
jimbo,2,19,1,{'damn': 1},5.26
gnome 5,2,18,1,{'hell': 1},5.56
woman,2,11,0,{},0.0
randy,2,5,0,{},0.0
whistle,2,4,0,{},0.0
soldier 2,2,4,0,{},0.0
soldier 1,2,3,0,{},0.0
gnome 4,1,10,0,{},0.0
gnome 3,1,9,0,{},0.0
mr garrison,1,2,0,{},0.0
a voice,1,2,0,{},0.0
iraqi man 1,1,2,0,{},0.0
iraqi man 2,1,2,0,{},0.0
elderly man,1,2,0,{},0.0
stan kyle,1,1,0,{},0.0
soldier,1,1,0,{},0.0
sheila,1,1,0,{},0.0
