Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
tweek,57,486,11,"{'god': 10, 'kill': 1}",2.26
stan,45,606,6,"{'gay': 1, 'hell': 1, 'pisses': 1, 'asshole': 1, 'fatass': 1, 'fuck': 1}",0.99
cartman,43,496,9,"{'stupid': 2, 'crap': 2, 'asshole': 1, 'sucks': 1, 'ass': 1, 'nutsack': 1, 'sucked': 1}",1.81
kyle,34,345,3,"{'douchey': 1, 'screw': 1, 'tard': 1}",0.87
steven spielberg,18,297,2,"{'gay': 1, 'god': 1}",0.67
george lucas,18,134,1,{'stupid': 1},0.75
skeeter,11,131,0,{},0.0
crowd,11,71,0,{},0.0
announcer,7,235,1,{'nazi': 1},0.43
ted koppel,7,161,3,{'murder': 3},1.86
woman,5,47,0,{},0.0
trey parker,3,49,0,{},0.0
townsfolk,3,14,0,{},0.0
audience,3,6,0,{},0.0
aide,2,35,0,{},0.0
man 5,2,24,0,{},0.0
man,2,19,0,{},0.0
man 3,2,19,0,{},0.0
members,2,18,0,{},0.0
francis ford coppola,2,14,0,{},0.0
richard,2,13,0,{},0.0
the boys,2,2,0,{},0.0
pat obrien,1,53,0,{},0.0
hat mccullough,1,31,4,"{'kill': 2, 'rape': 1, 'virgins': 1}",12.9
matt stone,1,18,0,{},0.0
man 7,1,15,0,{},0.0
guard 1,1,14,0,{},0.0
man 6,1,14,0,{},0.0
man 8,1,10,0,{},0.0
guard 2,1,9,0,{},0.0
man 4,1,8,0,{},0.0
viewer 1,1,7,0,{},0.0
a voice,1,6,0,{},0.0
viewer 3,1,5,1,{'god': 1},20.0
some people,1,4,0,{},0.0
man 10,1,4,0,{},0.0
viewer 2,1,4,0,{},0.0
ticket operator,1,2,0,{},0.0
man 9,1,2,0,{},0.0
townsman,1,2,0,{},0.0
cartman stan,1,1,0,{},0.0
man 2,1,1,0,{},0.0
