Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
randy,42,469,4,"{'god': 2, 'damn': 1, 'hell': 1}",0.85
marvin,36,487,15,"{'god': 4, 'hell': 2, 'pissed': 2, 'goddamned': 1, 'moron': 1, 'peckers': 1, 'scrotum': 1, 'stupid': 1, 'bitch': 1, 'ass': 1}",3.08
stan,25,265,1,{'kill': 1},0.38
cartman,24,366,5,"{'god': 4, 'fat': 1}",1.37
kyle,14,98,2,"{'asshole': 1, 'retarded': 1}",2.04
stewart,12,154,2,"{'japs': 1, 'hell': 1}",1.3
elderly man,9,65,0,{},0.0
aarp leader,7,57,0,{},0.0
mr garrison,5,65,0,{},0.0
seniors,5,26,0,{},0.0
dmv official,4,40,0,{},0.0
elderly driver,4,37,1,{'hell': 1},2.7
elderly woman,4,31,0,{},0.0
elderly woman 1,4,29,0,{},0.0
barbrady,4,29,0,{},0.0
aarp member,4,29,0,{},0.0
mona,4,26,0,{},0.0
army official,3,44,0,{},0.0
sharon,3,29,0,{},0.0
gerald,3,16,0,{},0.0
kenny,3,8,1,{'god': 1},12.5
other seniors,3,3,0,{},0.0
father maxi,2,135,4,"{'gods': 2, 'god': 2}",2.96
man in vest,2,25,0,{},0.0
elderly man 2,2,23,0,{},0.0
elderly passenger,2,15,0,{},0.0
tank driver,2,14,0,{},0.0
elderly man 9,2,13,0,{},0.0
elderly man 3,2,6,0,{},0.0
randy and the boys,2,2,0,{},0.0
anchor,1,95,0,{},0.0
field reporter,1,56,0,{},0.0
male nurse,1,22,0,{},0.0
elderly man 6,1,17,0,{},0.0
elderly man 1,1,16,1,{'pissed': 1},6.25
mr johnson,1,13,1,{'damn': 1},7.69
elderly man 8,1,13,0,{},0.0
a nurse,1,13,0,{},0.0
elderly man 4,1,12,1,{'damn': 1},8.33
elderly woman 2,1,10,0,{},0.0
elderly woman 4,1,10,0,{},0.0
elderly woman 6,1,8,0,{},0.0
soldier,1,8,0,{},0.0
elderly woman 3,1,6,0,{},0.0
elderly man 7,1,6,0,{},0.0
an elderly woman,1,6,0,{},0.0
elderly woman 7,1,5,0,{},0.0
elderly man 11,1,5,0,{},0.0
aarp member 1,1,4,0,{},0.0
aarp member 3,1,4,0,{},0.0
mrs wyland,1,4,0,{},0.0
someone,1,3,0,{},0.0
aarp member 2,1,3,0,{},0.0
aarp lookout,1,3,0,{},0.0
elderly man 10,1,3,0,{},0.0
elderly man 5,1,2,0,{},0.0
mrs applegate,1,2,0,{},0.0
aarp members,1,2,0,{},0.0
an elderly man,1,1,0,{},0.0
