Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
stan,51,533,8,"{'ass': 3, 'god': 2, 'screw': 1, 'bitch': 1, 'douche': 1}",1.5
gary,41,535,2,"{'stupid': 1, 'suck': 1}",0.37
randy,32,388,6,"{'ass': 3, 'god': 2, 'crap': 1}",1.55
smith,24,519,3,{'god': 3},0.58
gary sr,19,251,0,{},0.0
cartman,17,147,6,"{'ass': 2, 'fag': 1, 'butthole': 1, 'god': 1, 'damn': 1}",4.08
singers,16,90,0,{},0.0
harris,13,124,2,"{'hell': 1, 'god': 1}",1.61
mark,13,63,0,{},0.0
dad,10,133,0,{},0.0
kyle,9,65,3,"{'asshole': 1, 'douche': 1, 'fuckin': 1}",4.62
karen,8,125,0,{},0.0
sharon,6,37,2,"{'god': 1, 'ass': 1}",5.41
jenny,6,25,0,{},0.0
mr garrison,5,110,1,{'retards': 1},0.91
shelly,5,23,4,"{'turd': 3, 'stupid': 1}",17.39
mom,5,23,0,{},0.0
kids,5,19,0,{},0.0
moroni,3,98,1,{'god': 1},1.02
butler,3,26,1,{'god': 1},3.85
woman,2,17,0,{},0.0
butters,2,12,0,{},0.0
dave,2,11,0,{},0.0
man,2,11,0,{},0.0
wife,2,10,0,{},0.0
people,2,10,0,{},0.0
mr harrison,2,8,0,{},0.0
the harrisons,2,5,0,{},0.0
lucy,1,44,1,{'hell': 1},2.27
mrs harris,1,18,0,{},0.0
customer,1,10,1,{'god': 1},10.0
the other kids,1,9,0,{},0.0
angel,1,8,0,{},0.0
the family,1,6,0,{},0.0
blacksmith,1,6,0,{},0.0
clyde,1,5,1,{'ass': 1},20.0
token,1,5,0,{},0.0
older brother,1,4,0,{},0.0
craig,1,3,1,{'bitch': 1},33.33
amanda,1,2,0,{},0.0
the kids,1,2,0,{},0.0
mark jenny,1,2,0,{},0.0
gary sr karen,1,2,0,{},0.0
older sister,1,1,0,{},0.0
jenny mark,1,1,0,{},0.0
