Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
cartman,43,634,12,"{'kill': 3, 'god': 2, 'kills': 2, 'shit': 1, 'fucking': 1, 'dumbass': 1, 'pissed': 1, 'asshole': 1}",1.89
rob reiner,39,928,15,"{'god': 5, 'bastards': 3, 'poon': 2, 'kill': 2, 'seduce': 1, 'screwed': 1, 'hell': 1}",1.62
kyle,34,415,7,"{'god': 2, 'stupid': 1, 'kill': 1, 'fat': 1, 'turd': 1, 'asshole': 1}",1.69
stan,22,154,3,"{'kill': 1, 'fatass': 1, 'fat': 1}",1.95
kevin harris,10,167,2,"{'slaves': 1, 'god': 1}",1.2
butt out,10,48,0,{},0.0
mr mackey,7,170,1,{'shit': 1},0.59
sheila,6,81,0,{},0.0
randy,5,63,2,"{'god': 1, 'hell': 1}",3.17
buds man,5,41,0,{},0.0
butt outs randy,4,50,0,{},0.0
principal victoria,4,40,0,{},0.0
vernon,4,28,0,{},0.0
pam,4,22,0,{},0.0
butt outs kyle,3,72,0,{},0.0
butt out lady,3,32,0,{},0.0
liane,3,32,0,{},0.0
mr garrison,3,14,0,{},0.0
worker,2,28,1,{'kill': 1},3.57
factory workers,2,21,0,{},0.0
scary assistant,2,20,0,{},0.0
sharon,2,18,0,{},0.0
butt out man 2,2,12,0,{},0.0
kenny,2,8,0,{},0.0
townspeople,2,5,0,{},0.0
butt out man 1,1,20,0,{},0.0
executive,1,16,1,{'poon': 1},6.25
gerald,1,16,0,{},0.0
executive 1,1,14,0,{},0.0
older worker,1,12,0,{},0.0
young worker,1,10,0,{},0.0
butt out man 3,1,4,0,{},0.0
receptionist,1,4,0,{},0.0
mr slave,1,3,0,{},0.0
bartender,1,3,0,{},0.0
