Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
butters,55,730,7,"{'god': 3, 'stupid': 2, 'assholes': 1, 'pussy': 1}",0.96
stan,49,596,3,"{'stupid': 1, 'screw': 1, 'bitch': 1}",0.5
lexus,32,277,0,{},0.0
kyle,28,343,6,"{'god': 2, 'crap': 1, 'damn': 1, 'hell': 1, 'pussy': 1}",1.75
pete,11,126,1,{'asshole': 1},0.79
michael,10,173,0,{},0.0
linda,10,119,0,{},0.0
cartman,10,90,5,"{'stupid': 1, 'skank': 1, 'whore': 1, 'god': 1, 'fag': 1}",5.56
jimmy,10,83,0,{},0.0
porsche,9,156,3,{'god': 3},1.92
henrietta,9,120,4,"{'bitch': 2, 'asshole': 1, 'bastard': 1}",3.33
stephen,8,97,1,{'gay': 1},1.03
bebe,7,84,5,"{'fuck': 1, 'fatass': 1, 'assholes': 1, 'god': 1, 'stupid': 1}",5.95
mercedes,6,224,1,{'god': 1},0.45
raisins girl,4,29,0,{},0.0
wendy,3,36,1,{'fuck': 1},2.78
henriettas mom,3,26,0,{},0.0
diners,3,7,0,{},0.0
other goths,3,3,0,{},0.0
blonde,2,21,0,{},0.0
chris,2,12,0,{},0.0
redhead,2,10,0,{},0.0
ferrari,2,7,0,{},0.0
maury,2,4,0,{},0.0
waitress,1,25,1,{'damn': 1},4.0
brunette,1,20,0,{},0.0
mr garrison,1,11,0,{},0.0
firkle,1,8,1,{'nazi': 1},12.5
blonde 2,1,7,0,{},0.0
brunette 3,1,5,0,{},0.0
raisins girls,1,3,0,{},0.0
brunette 2,1,2,0,{},0.0
the boys,1,1,0,{},0.0
blonde 3,1,1,0,{},0.0
boy,1,1,0,{},0.0
