Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
cartman,43,673,6,"{'ass': 2, 'god': 1, 'fucking': 1, 'bitch': 1, 'pussy': 1}",0.89
kyle,24,182,10,"{'hell': 2, 'god': 2, 'gay': 1, 'ass': 1, 'dumbass': 1, 'retard': 1, 'asshole': 1, 'crap': 1}",5.49
skeeter,23,256,3,"{'bastards': 1, 'asses': 1, 'hell': 1}",1.17
stan,22,193,2,"{'crap': 1, 'hell': 1}",1.04
randy,21,259,2,"{'bastards': 1, 'bitches': 1}",0.77
mr mackey,11,140,0,{},0.0
official messenger boy,8,87,0,{},0.0
stuart,8,83,1,{'nazi': 1},1.2
protesters,7,33,0,{},0.0
mr garrison,6,169,1,{'slave': 1},0.59
gerald,6,87,0,{},0.0
adams,6,69,1,{'penis': 1},1.45
jimbo,5,98,1,{'hell': 1},1.02
jefferson,5,66,0,{},0.0
supporters,5,25,0,{},0.0
dickinson,4,92,0,{},0.0
tom,4,76,1,{'gay': 1},1.32
liane,4,38,0,{},0.0
hancock,4,36,0,{},0.0
townsfolk,4,26,0,{},0.0
mayor mcdaniels,3,52,0,{},0.0
everybody,3,34,0,{},0.0
kenny,3,9,0,{},0.0
franklin,2,105,0,{},0.0
congressman 2,2,33,0,{},0.0
a voice,2,30,0,{},0.0
congressmen,2,30,0,{},0.0
mr slave,2,20,0,{},0.0
congressman 3,1,29,0,{},0.0
dr doctor,1,24,1,{'kill': 1},4.17
a congressman,1,17,0,{},0.0
sharon,1,15,0,{},0.0
together,1,13,0,{},0.0
protester,1,12,0,{},0.0
the boys,1,11,0,{},0.0
townsman,1,8,0,{},0.0
congressman 1,1,7,0,{},0.0
butters,1,5,0,{},0.0
tv oh,1,4,0,{},0.0
protester 3,1,4,0,{},0.0
protester 1,1,3,0,{},0.0
protester 2,1,3,0,{},0.0
class,1,1,0,{},0.0
somebody,1,1,0,{},0.0
congressman,1,1,0,{},0.0
