Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
cartman as jennifer lopez,99,674,10,"{'stupid': 3, 'god': 2, 'ass': 2, 'suck': 1, 'slut': 1, 'hell': 1}",1.48
cartman,88,712,10,"{'ass': 2, 'god': 2, 'spooge': 2, 'stupid': 1, 'hell': 1, 'crap': 1, 'naked': 1}",1.4
kyle,37,279,13,"{'stupid': 3, 'god': 3, 'hell': 2, 'asshole': 1, 'screw': 1, 'fatass': 1, 'damn': 1, 'crap': 1}",4.66
ben,28,213,1,{'god': 1},0.47
jennifer lopez,26,271,14,"{'bitch': 3, 'fuck': 3, 'hell': 2, 'stupid': 1, 'kill': 1, 'ass': 1, 'fucking': 1, 'asshole': 1, 'bullshit': 1}",5.17
bhi president,11,113,0,{},0.0
stan,7,89,1,{'hell': 1},1.12
aide 1,6,72,1,{'kill': 1},1.39
michael,5,93,1,{'hell': 1},1.08
aide 2,5,72,1,{'bitch': 1},1.39
principal victoria,5,54,0,{},0.0
liane,5,36,0,{},0.0
mr garrison,4,51,1,{'god': 1},1.96
police officer 2,4,25,0,{},0.0
mitch conner,3,96,0,{},0.0
manager,3,64,0,{},0.0
butters,3,24,0,{},0.0
mr mackey,2,28,0,{},0.0
dr doctor,2,27,0,{},0.0
kenny,2,4,0,{},0.0
reporter,1,11,0,{},0.0
mr slave,1,8,0,{},0.0
man 2,1,5,0,{},0.0
man 1,1,4,0,{},0.0
female fan,1,4,0,{},0.0
driver,1,4,0,{},0.0
a council member,1,3,0,{},0.0
man 3,1,3,0,{},0.0
bebe,1,3,0,{},0.0
coworker,1,3,0,{},0.0
kids,1,2,0,{},0.0
kids in class,1,2,0,{},0.0
a boy,1,2,0,{},0.0
police officer 1,1,2,0,{},0.0
man 4,1,1,0,{},0.0
