Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
stan,56,464,6,"{'boobs': 2, 'kill': 2, 'hell': 1, 'breasts': 1}",1.29
cartman,43,456,19,"{'titty': 3, 'stupid': 2, 'nipples': 2, 'ass': 2, 'gay': 1, 'pissed': 1, 'god': 1, 'fat': 1, 'kill': 1, 'fuck': 1, 'hell': 1, 'naked': 1, 'breasts': 1, 'boobs': 1}",4.17
kyle,39,346,6,"{'fat': 1, 'ass': 1, 'kill': 1, 'nipples': 1, 'god': 1, 'stupid': 1}",1.73
trent,26,249,2,"{'shitheads': 1, 'dickheads': 1}",0.8
butters,19,222,3,"{'whiz': 1, 'god': 1, 'kill': 1}",1.35
sixth grade leader,15,126,3,"{'stupid': 1, 'boobs': 1, 'naked': 1}",2.38
shelly,8,87,11,"{'turd': 6, 'kill': 2, 'turds': 2, 'stupid': 1}",12.64
dr doctor,7,180,3,"{'titty': 2, 'anus': 1}",1.67
linda,7,82,0,{},0.0
stephen,7,61,0,{},0.0
kenny,7,25,0,{},0.0
sixth grader 2,6,45,1,{'tits': 1},2.22
sixth graders,4,11,1,{'boobs': 1},9.09
sixth grader 1,3,18,0,{},0.0
the boys,3,12,0,{},0.0
officer,2,30,0,{},0.0
officer 2,2,27,0,{},0.0
man 5,2,26,1,{'bitch': 1},3.85
sixth grader 3,2,15,2,"{'suck': 1, 'tits': 1}",13.33
ms claridge,2,15,0,{},0.0
sixth grader 4,2,11,0,{},0.0
boy,2,2,0,{},0.0
warden,1,52,1,{'kill': 1},1.92
man 3,1,48,0,{},0.0
woman 1,1,25,0,{},0.0
woman 3,1,17,0,{},0.0
man 6,1,17,0,{},0.0
clyde,1,14,0,{},0.0
man 4,1,13,0,{},0.0
man 2,1,11,0,{},0.0
sixth grader 9,1,11,0,{},0.0
paramedic,1,10,0,{},0.0
woman 2,1,8,0,{},0.0
sheila,1,7,0,{},0.0
nurse 1,1,6,0,{},0.0
sixth grader,1,5,0,{},0.0
nurse 2,1,3,0,{},0.0
sixth grader 5,1,2,0,{},0.0
sixth grader 8,1,1,0,{},0.0
