Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
cartman,53,575,7,"{'god': 2, 'kill': 2, 'hell': 1, 'assholes': 1, 'dumbass': 1}",1.22
yates,45,683,8,"{'murder': 3, 'god': 3, 'hell': 2}",1.17
murphy,26,222,1,{'kills': 1},0.45
kyle,24,332,8,"{'fucking': 1, 'fatass': 1, 'crap': 1, 'fuckin': 1, 'hell': 1, 'retard': 1, 'stupid': 1, 'screw': 1}",2.41
liane,14,104,2,{'god': 2},1.92
michael deets,13,193,2,"{'panties': 1, 'god': 1}",1.04
dr doctor,9,126,1,{'stupid': 1},0.79
female psychic,8,86,0,{},0.0
stan,7,45,1,{'goddammit': 1},2.22
lou,4,85,0,{},0.0
tom johansen,4,31,0,{},0.0
butters,3,34,0,{},0.0
jim brown ish,2,118,1,{'murder': 1},0.85
male psychic 1,2,40,0,{},0.0
female detective,2,29,0,{},0.0
officer 3,2,18,1,{'hell': 1},5.56
tolkien,2,12,0,{},0.0
singers,2,10,0,{},0.0
nurse 2,2,8,0,{},0.0
officer 1,2,5,0,{},0.0
chris swollenballs,1,32,0,{},0.0
male psychic 2,1,30,0,{},0.0
officer 7,1,23,0,{},0.0
weird man,1,21,1,{'sex': 1},4.76
announcer,1,12,0,{},0.0
clyde,1,8,0,{},0.0
officer 2,1,8,0,{},0.0
male psychic,1,7,0,{},0.0
craig,1,6,0,{},0.0
officer 5,1,6,0,{},0.0
kenny,1,5,0,{},0.0
officer 4,1,3,0,{},0.0
nurse,1,2,0,{},0.0
officer 6,1,1,0,{},0.0
other psychics,1,1,0,{},0.0
