Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
jimmy,53,860,20,"{'pussy': 3, 'goddamned': 2, 'fuck': 2, 'bitch': 2, 'god': 2, 'whiz': 1, 'fuckin': 1, 'kill': 1, 'stupid': 1, 'bitches': 1, 'hell': 1, 'ass': 1, 'fat': 1, 'jackass': 1}",2.33
cartman,42,659,14,"{'god': 4, 'ass': 2, 'hell': 2, 'shit': 1, 'retarded': 1, 'goddamned': 1, 'retards': 1, 'screw': 1, 'assholes': 1}",2.12
timmy,26,86,0,{},0.0
kyle,15,203,4,"{'asshole': 1, 'god': 1, 'damn': 1, 'hell': 1}",1.97
liane,11,76,1,{'retarded': 1},1.32
volunteer,9,63,0,{},0.0
nathan,8,91,1,{'urine': 1},1.1
mr mackey,8,81,0,{},0.0
ryan,7,42,2,{'masturbating': 2},4.76
nancy,6,63,0,{},0.0
host,5,156,0,{},0.0
announcer,4,35,0,{},0.0
stan,4,20,0,{},0.0
volunteer 2,3,24,0,{},0.0
coach 2,2,32,0,{},0.0
man,1,13,0,{},0.0
coach,1,8,0,{},0.0
mcguire,1,8,0,{},0.0
sarah,1,7,1,{'god': 1},14.29
francis,1,7,0,{},0.0
bonds,1,7,0,{},0.0
woman,1,4,0,{},0.0
blonde girl,1,3,0,{},0.0
girl,1,2,0,{},0.0
winner,1,2,0,{},0.0
blond boy,1,2,0,{},0.0
michael,1,1,0,{},0.0
