Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
cartman,52,984,12,"{'bitch': 4, 'god': 1, 'damn': 1, 'ass': 1, 'whore': 1, 'sucked': 1, 'prick': 1, 'asshole': 1, 'fuckin': 1}",1.22
stan,49,677,17,"{'sucked': 4, 'ass': 2, 'goddamn': 2, 'god': 1, 'snuff': 1, 'sucks': 1, 'damn': 1, 'bitch': 1, 'pussy': 1, 'fucking': 1, 'crap': 1, 'hell': 1}",2.51
kyle,36,450,14,"{'god': 4, 'asshole': 3, 'kill': 2, 'damn': 1, 'fatass': 1, 'stupid': 1, 'screwed': 1, 'douche': 1}",3.11
mel,21,316,3,"{'sucked': 2, 'nipples': 1}",0.95
ticket salesman,16,172,0,{},0.0
jack,10,135,0,{},0.0
kenny,9,19,2,"{'goddamn': 1, 'sucked': 1}",10.53
elise,7,67,0,{},0.0
driver,6,45,2,{'hell': 2},4.44
father maxi,5,92,1,{'god': 1},1.09
rabbi,5,86,0,{},0.0
townsfolk,5,25,0,{},0.0
mob,4,20,0,{},0.0
liane,3,23,0,{},0.0
terrance,3,12,0,{},0.0
man 2,2,33,0,{},0.0
man 1,2,21,0,{},0.0
man 3,2,21,0,{},0.0
guests,2,9,0,{},0.0
phillip,2,8,0,{},0.0
congregants,2,8,0,{},0.0
jesus,2,7,0,{},0.0
man 4,2,3,0,{},0.0
woman 2,1,18,0,{},0.0
man 11,1,15,0,{},0.0
priests,1,10,4,{'kill': 4},40.0
man 7,1,10,0,{},0.0
woman 1,1,8,0,{},0.0
gerald,1,8,0,{},0.0
woman 4,1,8,0,{},0.0
shlomo,1,7,1,{'fat': 1},14.29
announcer,1,7,0,{},0.0
man 8,1,6,0,{},0.0
man 10,1,6,0,{},0.0
soldier 2,1,5,0,{},0.0
man 6,1,4,0,{},0.0
man 9,1,4,0,{},0.0
man 5,1,3,1,{'god': 1},33.33
soldier 1,1,3,0,{},0.0
woman 3,1,3,0,{},0.0
woman 5,1,3,0,{},0.0
stan and kenny,1,1,0,{},0.0
sheila,1,1,0,{},0.0
