Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
butters,91,1332,9,"{'anus': 2, 'poop': 1, 'rectum': 1, 'pussy': 1, 'asshole': 1, 'god': 1, 'kill': 1, 'fart': 1}",0.68
cartman,79,610,11,"{'sucks': 1, 'bitch': 1, 'suck': 1, 'hell': 1, 'fuck': 1, 'dumbass': 1, 'retards': 1, 'jackass': 1, 'stupid': 1, 'assholes': 1, 'fart': 1}",1.8
general,21,357,5,"{'hell': 1, 'kill': 1, 'bitch': 1, 'fart': 1, 'faggot': 1}",1.4
scientist,16,200,5,"{'hell': 2, 'god': 1, 'damn': 1, 'kill': 1}",2.5
producer,12,176,0,{},0.0
linda,10,140,0,{},0.0
aunt nellie,7,49,0,{},0.0
mitch,6,30,1,{'drunk': 1},3.33
white official,4,33,0,{},0.0
kyle,4,32,2,"{'hell': 1, 'fatass': 1}",6.25
black official,4,30,1,{'farts': 1},3.33
staffer 2,4,27,0,{},0.0
staffer 3,4,15,0,{},0.0
liane,3,61,0,{},0.0
uncle budd,3,35,0,{},0.0
soldier,3,12,0,{},0.0
stephen,2,33,0,{},0.0
staffer 1,2,23,0,{},0.0
stan,2,15,0,{},0.0
boy,1,16,0,{},0.0
woman,1,12,0,{},0.0
millie,1,3,0,{},0.0
