Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
michael,67,618,1,{'god': 1},0.16
kyle,40,385,2,"{'goddammit': 1, 'bastard': 1}",0.52
cartman,35,576,12,"{'god': 3, 'hell': 2, 'ass': 1, 'goddamn': 1, 'assholes': 1, 'bitch': 1, 'suck': 1, 'fat': 1, 'molests': 1}",2.08
blanket,35,273,0,{},0.0
stan,35,241,2,"{'fucking': 1, 'god': 1}",0.83
yates,34,599,8,"{'damn': 3, 'god': 2, 'vomit': 1, 'bitch': 1, 'hell': 1}",1.34
harris,9,92,0,{},0.0
snetzl,7,170,2,"{'bastard': 1, 'penis': 1}",1.18
randy,7,65,0,{},0.0
kenny,6,36,1,{'hell': 1},2.78
maggie,4,107,0,{},0.0
sharon,4,48,0,{},0.0
gerald,3,48,0,{},0.0
mr jefferson,3,6,0,{},0.0
murphy,2,27,0,{},0.0
stephen,2,25,0,{},0.0
craig,2,7,0,{},0.0
stan kyle blanket,2,2,0,{},0.0
sheila,1,19,0,{},0.0
frakes,1,9,2,"{'pubic': 1, 'raped': 1}",22.22
johnson,1,6,0,{},0.0
red,1,2,0,{},0.0
kids,1,1,0,{},0.0
