Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
stan,32,386,6,"{'goddamn': 2, 'bitch': 1, 'fucking': 1, 'sucks': 1, 'gay': 1}",1.55
darryl weathers,20,465,10,"{'fuckin': 3, 'retard': 2, 'bastards': 2, 'goddamn': 1, 'hell': 1, 'queer': 1}",2.15
randy,17,274,3,"{'god': 2, 'gay': 1}",1.09
cartman,13,194,4,"{'fuckin': 1, 'ass': 1, 'asshole': 1, 'sex': 1}",2.06
kyle,10,80,2,"{'fucking': 1, 'gay': 1}",2.5
aaron brown,9,222,0,{},0.0
sharon,8,93,0,{},0.0
harrison moore,5,228,5,"{'sex': 2, 'sucked': 1, 'screwed': 1, 'gay': 1}",2.19
bill oreilly,5,125,4,"{'pissed': 2, 'douche': 2}",3.2
chet,5,56,1,{'gay': 1},1.79
woman,5,43,0,{},0.0
cashier,5,16,0,{},0.0
herbert garrison,4,115,1,{'douche': 1},0.87
mr nelson,4,88,0,{},0.0
aging hippie liberal douche,3,50,0,{},0.0
singer,3,37,0,{},0.0
mrs landis,3,33,0,{},0.0
man 8,3,29,0,{},0.0
brad morgan,2,138,0,{},0.0
douche,2,52,0,{},0.0
man 2,2,34,0,{},0.0
man 11,2,18,1,{'gay': 1},5.56
announcer,2,9,0,{},0.0
other men,2,8,0,{},0.0
skynard man,2,8,0,{},0.0
manager,2,6,0,{},0.0
man 9,2,4,0,{},0.0
chris holt,1,100,0,{},0.0
christina nylon,1,63,0,{},0.0
man 10,1,27,1,{'gay': 1},3.7
man 4,1,27,0,{},0.0
boss,1,15,0,{},0.0
man 12,1,10,0,{},0.0
news announcer,1,8,0,{},0.0
man 1,1,8,0,{},0.0
man 15,1,8,0,{},0.0
man 7,1,5,0,{},0.0
jimbo kern,1,4,1,{'queer': 1},25.0
man 3,1,4,0,{},0.0
man 6,1,4,0,{},0.0
many men,1,4,0,{},0.0
man 5,1,3,0,{},0.0
man 14,1,3,0,{},0.0
man 16,1,3,0,{},0.0
stout man,1,2,0,{},0.0
man 13,1,2,0,{},0.0
the kids,1,1,0,{},0.0
craig,1,1,0,{},0.0
timmy,1,1,0,{},0.0
mr glughgogawk,1,1,0,{},0.0
