Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
stan,43,360,14,"{'douche': 6, 'turd': 5, 'stupid': 1, 'hell': 1, 'god': 1}",3.89
kyle,30,342,29,"{'douche': 14, 'turd': 6, 'hell': 3, 'fatass': 2, 'asshole': 2, 'stupid': 1, 'fuckin': 1}",8.48
cartman,28,358,26,"{'turd': 13, 'suck': 3, 'goddammit': 2, 'stupid': 2, 'douche': 2, 'hell': 1, 'piss': 1, 'sucks': 1, 'fuck': 1}",7.26
randy,18,171,4,"{'turd': 3, 'douche': 1}",2.34
balding man,12,278,5,"{'douche': 2, 'turd': 2, 'suck': 1}",1.8
puff daddy,12,116,7,"{'bitch': 4, 'motherfucking': 1, 'kill': 1, 'fucking': 1}",6.03
herbert garrison,11,217,4,"{'douche': 2, 'turd': 2}",1.84
sharon,11,113,3,"{'turd': 1, 'douche': 1, 'bitch': 1}",2.65
butters,10,69,5,"{'turd': 3, 'douche': 2}",7.25
jimmy,7,125,1,{'douche': 1},0.8
turd sandwich,7,79,4,"{'turd': 3, 'douche': 1}",5.06
bearded peta member,7,35,0,{},0.0
giant douche,6,109,5,"{'turd': 3, 'douches': 2}",4.59
clyde,6,32,0,{},0.0
principal victoria,5,84,0,{},0.0
blonde peta member 2,5,27,1,{'slave': 1},3.7
jim lehrer,4,85,7,"{'turd': 4, 'douche': 3}",8.24
mr mackey,4,54,5,"{'douche': 3, 'turd': 2}",9.26
posse,4,33,4,{'motherfucker': 4},12.12
kenny,4,11,2,{'douche': 2},18.18
dreadlocked peta man,3,28,0,{},0.0
blonde peta woman,2,31,0,{},0.0
bebe,2,22,0,{},0.0
ostrich baby,2,6,3,{'kill': 3},50.0
students,2,2,0,{},0.0
mayor mcdaniels,1,54,1,{'gods': 1},1.85
cheerleaders,1,22,0,{},0.0
man in shorts,1,20,0,{},0.0
gas mask peta member,1,19,1,{'slave': 1},5.26
a bodyguard,1,18,1,{'kill': 1},5.56
mandy,1,13,0,{},0.0
blonde peta member,1,10,0,{},0.0
singer,1,10,0,{},0.0
announcer,1,9,0,{},0.0
red,1,8,0,{},0.0
wendy,1,8,0,{},0.0
townsfolk,1,8,0,{},0.0
shelly,1,7,0,{},0.0
peta man,1,6,0,{},0.0
kyle kenny,1,3,1,{'douche': 1},33.33
bodyguard,1,3,0,{},0.0
some townsfolk,1,3,0,{},0.0
all,1,3,0,{},0.0
class,1,1,0,{},0.0
other townsfolk,1,1,0,{},0.0
