Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
kyle,59,719,3,"{'goddammit': 1, 'god': 1, 'hell': 1}",0.42
brian,28,399,3,"{'retards': 1, 'hell': 1, 'crap': 1}",0.75
stan,25,215,1,{'hell': 1},0.47
cartman,20,154,2,"{'stupid': 1, 'crap': 1}",1.3
mike,19,163,4,"{'god': 2, 'naked': 1, 'screwing': 1}",2.45
jambu,16,247,3,"{'god': 1, 'stupid': 1, 'kill': 1}",1.21
alf leader,13,161,2,"{'bastards': 1, 'god': 1}",1.24
owner,9,70,2,"{'hell': 1, 'god': 1}",2.86
putin,7,82,1,{'ass': 1},1.22
clyde,7,44,1,{'ass': 1},2.27
butters,6,42,0,{},0.0
cop 1,6,41,0,{},0.0
sheila,5,80,0,{},0.0
mannuel,5,19,0,{},0.0
craig,4,66,1,{'naked': 1},1.52
mrs donovan,4,58,1,{'fat': 1},1.72
sergeant,4,53,1,{'bastards': 1},1.89
driver,4,32,1,{'hell': 1},3.12
cop 2,3,23,0,{},0.0
guard,3,19,0,{},0.0
anchor tom,2,50,0,{},0.0
field reporter,2,41,0,{},0.0
jimmy,2,29,0,{},0.0
man 2,2,7,0,{},0.0
alf member,2,6,1,{'motherfucker': 1},16.67
manuel,2,5,0,{},0.0
stingray announcer,1,39,0,{},0.0
aide,1,14,0,{},0.0
kelly,1,10,0,{},0.0
tweek,1,8,0,{},0.0
kenny,1,7,1,{'fuck': 1},14.29
nelson,1,6,0,{},0.0
worker 2,1,6,0,{},0.0
tolkien,1,4,0,{},0.0
protesters,1,4,0,{},0.0
worker 1,1,4,0,{},0.0
man,1,2,0,{},0.0
the other boys,1,2,0,{},0.0
timmy,1,1,0,{},0.0
both men,1,1,0,{},0.0
