Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
butters,74,619,2,"{'god': 1, 'stupid': 1}",0.32
cartman,73,1080,18,"{'god': 9, 'stupid': 2, 'fags': 1, 'titty': 1, 'fuck': 1, 'crap': 1, 'retarded': 1, 'butthole': 1, 'bitch': 1}",1.67
stan,21,152,2,"{'fat': 1, 'asshole': 1}",1.32
kyle,18,143,4,"{'god': 2, 'shit': 1, 'fat': 1}",2.8
stephen,13,147,0,{},0.0
liane,6,37,0,{},0.0
linda,6,33,0,{},0.0
doctor,5,153,0,{},0.0
psychic,5,69,1,{'god': 1},1.45
bald convict,4,17,2,"{'hell': 1, 'bitch': 1}",11.76
kenny,4,12,2,{'fuck': 2},16.67
reporter chris,3,96,1,{'kill': 1},1.04
sharon,3,29,0,{},0.0
det yates,3,21,1,{'hell': 1},4.76
convict 2,3,14,1,{'fat': 1},7.14
black plumber,2,28,0,{},0.0
lead convict,2,20,0,{},0.0
man,2,17,1,{'hell': 1},5.88
clyde,2,16,0,{},0.0
jimmy,2,11,0,{},0.0
fat plumber,2,8,0,{},0.0
tolkien,2,6,0,{},0.0
anchor tom,1,25,0,{},0.0
thin plumber,1,15,0,{},0.0
craig,1,11,0,{},0.0
eric cartman,1,6,0,{},0.0
woman,1,5,0,{},0.0
other boys,1,4,1,{'screw': 1},25.0
announcer,1,4,0,{},0.0
officer 2,1,4,0,{},0.0
officer,1,3,0,{},0.0
kevin,1,2,0,{},0.0
the boys,1,1,0,{},0.0
bradley,1,1,0,{},0.0
